,interview,task,meanpupilsize,stddevpupilsize,maxpupilsize,minpupilsize,startpupilsize,endpupilsize
0,EA-004,EA-004_allsc,-0.055546628976,0.12760936325,0.760694358338,-0.488530688159,-0.228146311221,-0.161500309981
1,EA-004,Reading,-0.0213167311531,0.0992219043353,0.760694358338,-0.342839429634,0.0492870427774,-0.147551146931
2,EA-004,Memory,-0.0284118832014,0.0738753870208,0.49721016739,-0.364538127712,0.00278983261004,-0.161500309981
3,EA-004,CookieTheft,-0.175289250577,0.160619143912,0.649101053937,-0.488530688159,-0.276193428394,0.101983880967
4,EA-004,PupilCalib,-0.000239159639877,0.126477172294,0.429014259144,-0.398636081835,-0.228146311221,0.193428394296
5,EA-007,EA-007_allsc,0.0488203550019,0.0648183062851,0.279265966011,-0.276553039911,-0.0354040532145,0.0116494076043
6,EA-007,Reading,0.0187544611841,0.0448312229736,0.158691472663,-0.276553039911,-0.0501082597204,0.0528211858207
7,EA-007,CookieTheft,0.0139294014566,0.0393832139335,0.110167591194,-0.203032007382,-0.0104069021545,-0.0148181641063
8,EA-007,PupilCalib,8.68351354791e-05,0.0515774181897,0.116049273796,-0.167741911767,-0.0354040532145,0.00723814565252
9,EA-009,EA-009_allsc,0.0139090364666,0.0502532658412,0.173355354247,-0.219045452747,-0.00360971557419,-0.0767039835437
10,EA-009,Reading,-0.0202676896698,0.0404385281099,0.142578820365,-0.219045452747,-0.0132273824123,-0.00745678230943
11,EA-009,Memory,0.0399634189952,0.0477044549416,0.15412002057,-0.188268918865,0.0540962854543,-0.0767039835437
12,EA-009,CookieTheft,0.0336403100105,0.0399425223144,0.173355354247,-0.165186518454,-0.00553324894181,0.0944904861743
13,EA-009,PupilCalib,0.00206139142344,0.0441776179603,0.161814154041,-0.138257051307,-0.00360971557419,-0.0805510502789
14,EA-049,EA-049_allsc,-0.102995829447,0.076559715582,0.214110730034,-0.394521402165,-0.0287114159726,-0.0129437441539
15,EA-049,Reading,-0.127238971868,0.058307334774,0.108467328849,-0.394521402165,-0.249458821433,-0.235267916797
