,interview,task,meandistance,stddevdistance,maxdistance,mindistance,startdistance,enddistance
301,ET-090,Reading,622.639486553,15.5918435652,660.9,593.01,634.18,599.27
302,ET-090,Memory,605.007952676,5.90291454229,643.36,595.22,636.93,617.31
303,ET-090,CookieTheft,609.243768715,12.2573122291,639.16,587.23,602.02,602.48
304,ET-090,PupilCalib,602.865284392,1.22931393804,607.44,600.38,605.56,601.05
305,EU-015,EU-015_allsc,615.023753903,15.7557221898,644.09,394.77,621.16,615.2
306,EU-015,Reading,617.841699209,19.2098645946,644.09,465.51,603.22,607.27
307,EU-015,Memory,604.64658515,22.5235851468,635.77,394.77,632.83,615.2
308,EU-015,CookieTheft,615.84939711,4.4641903438,631.26,600.51,615.47,614.73
309,EU-015,PupilCalib,623.7455721,2.04775019202,630.28,619.71,621.16,622.83
310,EU-024,EU-024_allsc,656.540477991,8.15947092886,717.01,614.78,668.72,678.61
311,EU-024,Reading,657.690845511,9.56037081598,692.22,634.97,661.52,679.03
312,EU-024,Memory,657.590875689,6.590212012,717.01,636.42,658.77,678.61
313,EU-024,CookieTheft,652.059462576,5.70982150183,667.28,614.78,659.98,654.65
314,EU-024,PupilCalib,665.078124542,1.23844702169,671.14,663.38,668.72,666.13
315,EU-161,EU-161_allsc,686.092196709,24.5435538936,777.49,640.44,676.31,691.83
316,EU-161,Reading,720.56475004,16.0961502588,777.49,642.11,677.36,727.94
317,EU-161,Memory,692.681653251,7.90742107998,711.76,640.44,711.74,691.83
318,EU-161,CookieTheft,667.891688786,5.26896114834,684.98,649.07,679.34,665.02
319,EU-161,PupilCalib,678.974789104,1.47566069736,682.32,673.67,676.31,681.02
320,EY-035,PupilCalib,707.237118524,2.36828702918,711.13,697.73,705.36,698.05
321,EY-043,EY-043_allsc,704.152031851,23.6088726756,758.11,668.27,674.94,739.56
322,EY-043,Reading,696.604453925,10.4832446615,723.16,668.27,693.36,678.77
323,EY-043,Memory,735.429246953,12.28590421,758.11,697.73,701.5,739.56
324,EY-043,CookieTheft,685.312094638,5.82234683917,701.76,671.37,677.14,679.6
325,EY-043,PupilCalib,676.069005315,1.05204786438,679.05,673.46,674.94,677.48
326,EY-088,EY-088_allsc,642.884960621,10.7596108826,666.62,605.88,658.7,632.2
327,EY-088,Reading,643.152653137,6.32334176808,659.28,625.55,653.92,632.11
328,EY-088,Memory,632.33502288,5.13807521647,650.47,605.88,639.3,632.2
