,interview,task,mean_Latency,med_Latency,sd_Latency,mean_Latency_f,med_Latency_f,sd_Latency_f,mean_Latency_b,med_Latency_b,sd_Latency_b,prop_dir_f,fallinAOI
104,HA-128,CookieTheft,513.636363636,150.0,-1.0,208.285714286,150.0,-1,1026.54545455,1083.0,-1.0,0.636363636364,0
105,HA-142,CookieTheft,747.333333333,692.0,-1.0,479.0,479.0,-1,876.8,817.0,-1.0,0.333333333333,0
106,HA-154,CookieTheft,991.75,708.0,-1.0,1702.66666667,1408.0,-1,994.75,708.0,-1.0,0.125,0
107,HA-159,CookieTheft,873.142857143,950.0,-1.0,520.25,421.0,-1,1414.42857143,972.0,-1.0,0.428571428571,0
108,HA-163,CookieTheft,620.5,504.0,-1.0,10.6666666667,8.0,-1,783.125,887.5,-1.0,0.375,0
109,HA-172,CookieTheft,489.285714286,533.0,-1.0,229.0,8.5,-1,858.5,725.0,-1.0,0.571428571429,0
110,HA-177,CookieTheft,683.142857143,708.0,488.240524254,1620.0,1458.0,-1,554.0,612.0,-1.0,0.142857142857,0
111,HA-181,CookieTheft,736.0,342.0,-1.0,635.888888889,175.0,-1,767.055555556,554.5,-1.0,0.428571428571,0
112,HA-192,CookieTheft,562.111111111,192.0,-1.0,258.5,70.5,-1,1218.75,725.0,-1.0,0.555555555556,0
113,HA-196,CookieTheft,666.923076923,591.0,-1.0,678.75,267.0,-1,686.181818182,700.0,-1.0,0.538461538462,0
114,HC-116,CookieTheft,580.307692308,292.0,-1.0,559.625,59.0,-1,580.583333333,496.0,-1.0,0.461538461538,0
115,HE-012,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
116,HE-022,CookieTheft,350.0,233.5,-1.0,8.0,8.0,-1,375.166666667,234.0,-1.0,0.166666666667,0
117,HE-030,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
118,HE-078,CookieTheft,614.625,246.0,-1.0,871.0,162.5,-1,857.375,842.0,-1.0,0.375,0
119,HE-095,CookieTheft,332.15,50.5,-1.0,661.5,9.0,-1,487.764705882,225.0,-1.0,0.65,0
120,HE-099,CookieTheft,166.75,129.5,-1.0,284.4,9.0,-1,219.625,212.5,-1.0,0.5,0
121,HE-115,CookieTheft,402.2,63.0,-1.0,383.307692308,9.0,-1,592.666666667,291.5,-1.0,0.55,0
122,HE-119,CookieTheft,958.1,771.0,-1.0,883.166666667,854.0,-1,1047.3,804.0,-1.0,0.4,0
123,HE-130,CookieTheft,621.6,383.5,-1.0,1510.25,1550.0,-1,435.111111111,267.0,-1.0,0.2,0
124,HE-150,CookieTheft,393.2,450.0,-1.0,637.5,637.5,-1,759.8,500.0,-1.0,0.2,0
125,HE-155,CookieTheft,941.8,1125.0,-1.0,1647.25,1690.0,-1,500.0,275.0,-1.0,0.4,0
126,HH-029,CookieTheft,532.0,425.0,499.956998151,862.5,308.5,-1,564.142857143,508.0,474.865745438,0.285714285714,0
127,HH-053,CookieTheft,502.742857143,316.0,-1.0,336.368421053,9.0,-1,617.823529412,460.5,-1.0,0.4,0
128,HH-055,CookieTheft,673.75,558.0,-1.0,49.6666666667,41.0,-1,831.25,908.5,-1.0,0.375,0
129,HH-056,CookieTheft,786.6,612.5,-1.0,967.857142857,800.0,-1,1261.88888889,975.0,-1.0,0.5,0
130,HH-076,CookieTheft,346.153846154,233.0,-1.0,695.722222222,9.0,-1,577.28,417.0,-1.0,0.538461538462,0
131,HH-098,CookieTheft,422.166666667,291.5,-1.0,528.75,291.5,-1,863.4,775.0,-1.0,0.5,0
132,HI-010,CookieTheft,411.333333333,442.0,-1.0,864.0,808.0,-1,497.333333333,442.0,-1.0,0.333333333333,0
133,HI-020,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
134,HI-034,CookieTheft,577.4,591.5,-1.0,1421.28571429,1258.0,-1,604.9,591.5,-1.0,0.2,0
135,HI-036,CookieTheft,251.777777778,17.0,-1.0,255.5,8.5,-1,143.0,79.0,-1.0,0.666666666667,0
