,index,1,metric,model
165,165,0.880952,roc,LogReg
166,166,0.666667,roc,LogReg
167,167,0.904762,roc,LogReg
168,168,0.571429,roc,LogReg
169,169,0.761905,roc,LogReg
170,170,0.428571,fms,LogReg
171,171,0.533333,fms,LogReg
172,172,0.75,fms,LogReg
173,173,0.666667,fms,LogReg
174,174,0.5,fms,LogReg
175,175,0.714286,fms,LogReg
176,176,0.444444,fms,LogReg
177,177,0.727273,fms,LogReg
178,178,0.5,fms,LogReg
179,179,0.666667,fms,LogReg
180,180,0.428571,precision,LogReg
181,181,0.5,precision,LogReg
182,182,0.666667,precision,LogReg
183,183,0.625,precision,LogReg
184,184,0.6,precision,LogReg
185,185,0.625,precision,LogReg
186,186,0.666667,precision,LogReg
187,187,0.8,precision,LogReg
188,188,0.5,precision,LogReg
189,189,0.555556,precision,LogReg
190,190,0.428571,recall,LogReg
191,191,0.571429,recall,LogReg
192,192,0.857143,recall,LogReg
193,193,0.714286,recall,LogReg
194,194,0.428571,recall,LogReg
195,195,0.833333,recall,LogReg
196,196,0.333333,recall,LogReg
197,197,0.666667,recall,LogReg
198,198,0.5,recall,LogReg
199,199,0.833333,recall,LogReg
